Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,
12/1/2018,26.07,26.379999,22.879999,25.440001,23.45845,6076000,,,,,,,,,,,
1/1/2019,25.389999,28.91,25.360001,28.440001,26.38129,5194200,,,,,,,,,,,
2/1/2019,28.389999,28.4,24.620001,25.67,23.935223,5715600,,,,,,,,,,,
3/1/2019,25.790001,26.32,23.68,24.34,22.825405,4773800,,,,,,,,,,,
4/1/2019,24.450001,25.85,23.879999,25.620001,24.170401,4300100,,,,,,,,,,,
5/1/2019,25.620001,26.41,23.299999,23.35,22.157042,5738800,,,,,,,,,,,
6/1/2019,23.41,24.280001,22.34,22.99,21.950487,3531500,,,,,,,,,,,
7/1/2019,23.02,24.91,22.66,23.700001,22.779373,5829700,,,,,,,,,,,
8/1/2019,23.68,25.91,22.92,24.799999,23.985315,5208400,,,,,,,,,,,
9/1/2019,24.709999,26.190001,23.83,24.26,23.606178,4760400,,,,,,,,,,,
10/1/2019,24.280001,24.389999,22.450001,22.450001,21.97629,3142500,,,,,,,,,,,
11/1/2019,22.639999,26.26,22.25,25.389999,25.018272,6637100,,,,,,,,,,,
12/1/2019,25.32,34.389999,23.85,33.849998,33.552242,13305200,,,,,,,,,,,
1/1/2020,33.82,34.060001,33.740002,33.77,33.620842,13355500,,,,,,,,,,,
2/1/2020,33.759998,33.900002,32.509998,32.990002,32.990002,14674400,,,,,,,,,,,
3/1/2020,33.150002,33.23,6.3,11.7,11.7,35131200,,,,,,,,,,,
4/1/2020,11.75,16.93,10.29,16.639999,16.639999,13400100,,,,,,,,,,,
5/1/2020,16.040001,16.040001,11.22,14.55,14.55,9391800,,,,,,,,,,,
6/1/2020,14.5,16.9,7.63,8.04,8.04,21932900,,,,,,,,,,,
7/1/2020,8.48,9.06,7.58,8,8,24134100,,,,,,,,,,,
8/1/2020,8.05,10.37,7.6,9.9,9.9,20412700,,,,,,,,,,,
9/1/2020,9.94,10.14,7.2,7.21,7.21,18005800,,,,,,,,,,,
10/1/2020,7.24,7.37,4.32,5.09,5.09,25530800,,,,,,,,,,,
11/1/2020,5.07,11.88,5.04,10.4,10.4,44729000,,,,,,,,,,,
12/1/2020,10.65,11.25,8.11,9.27,9.27,27932200,,,,,,,,,,,
1/1/2021,9.27,12.45,8.65,10.5,10.5,23813600,,,,,,,,,,,
2/1/2021,10.58,14.33,10.16,13.82,13.82,25602600,,,,,,,,,,,
3/1/2021,14.24,15.25,11.54,11.91,11.91,24300400,,,,,,,,,,,
4/1/2021,11.95,13.75,11.67,12.7,12.7,11617600,,,,,,,,,,,
5/1/2021,12.73,16.299999,11.7,15.7,15.7,17115600,,,,,,,,,,,
6/1/2021,15.98,16.76,14.51,14.9,14.9,21336600,,,,,,,,,,,
7/1/2021,15.05,16.389999,12.84,12.92,12.92,13763700,,,,,,,,,,,
8/1/2021,12.78,14.16,11.92,13.14,13.14,10240900,,,,,,,,,,,
9/1/2021,13.15,13.93,12.76,13.14,13.14,10949600,,,,,,,,,,,
10/1/2021,13.15,14.7,13.08,13.26,13.26,10032900,,,,,,,,,,,
11/1/2021,13.31,15.75,11.21,11.72,11.72,17063600,,,,,,,,,,,
12/1/2021,11.95,14.48,10.93,13.61,13.61,13572800,,,,,,,,,,,
1/1/2022,12.96,13.78,11.96,12.97,12.97,8628100,,,,,,,,,,,
2/1/2022,13,13.99,12.34,13.84,13.84,9274100,,,,,,,,,,,
3/1/2022,13.84,14.1,12.12,13.41,13.41,9287300,,,,,,,,,,,
4/1/2022,13.46,13.92,12.45,13.16,13.16,6320600,,,,,,,,,,,
5/1/2022,13,13.23,11.17,12.91,12.91,7080700,,,,,,,,,,,
6/1/2022,12.95,13.07,10.35,10.81,10.81,6675300,,,,,,,,,,,
7/1/2022,10.85,11.65,10.58,11.22,11.22,4917800,,,,,,,,,,,
8/1/2022,11.13,12.23,8.89,9.01,9.01,8476900,,,,,,,,,,,
9/1/2022,8.95,9.83,8.12,9.1,9.1,6448000,,,,,,,,,,,
10/1/2022,9.13,9.38,8.18,9.26,9.26,4973200,,,,,,,,,,,
11/1/2022,9.4,10.83,9.12,10.3,10.3,5673600,,,,,,,,,,,
12/1/2022,10.28,10.45,7.3,8.05,8.05,6155800,,,,,,,,,,,
1/1/2023,8.07,8.78,7.62,8.74,8.74,7647800,,,,,,,,,,,
2/1/2023,8.73,9.41,8.06,8.22,8.22,6510000,,,,,,,,,,,
3/1/2023,8.19,8.97,7.48,8.83,8.83,6529200,,,,,,,,,,,
4/1/2023,8.83,9.5,8.42,8.88,8.88,4195300,,,,,,,,,,,
5/1/2023,8.8,10.26,8.3,9.78,9.78,7987000,,,,,,,,,,,
6/1/2023,9.78,9.97,8.62,8.87,8.87,3834400,,,,,,,,,,,
7/1/2023,8.9,9.46,8.81,9.2,9.2,5043700,,,,,,,,,,,
8/1/2023,9.15,9.76,7.92,8.54,8.54,8556200,,,,,,,,,,,
9/1/2023,8.55,9.7,7.85,9.47,9.47,7545900,,,,,,,,,,,
10/1/2023,9.47,9.56,7.88,8.34,8.34,5040400,,,,,,,,,,,
11/1/2023,8.3,9.64,8.3,9.16,9.16,5701700,,,,,,,,,,,
